Metric,Value
Triggerable,0
Regularmarkettime,"1,561,759,658"
Gmtoffsetmilliseconds,"-14,400,000"
Esgpopulated,0
Hasprepostmarketdata,0
Firsttradedatemilliseconds,"1,063,027,800,000"
Tradeable,0
Cryptotradeable,0
Pricehint,2
Averagedailyvolume3Month,"3,565,055"
Averagedailyvolume10Day,"3,565,055"
Fiftytwoweeklow,64.0
Fiftytwoweekhigh,71.0
Fiftytwoweekchangepercent,0.0%
Fiftydayaverage,69.0
Twohundreddayaverage,69.0
Sourceinterval,15
Exchangedatadelayedby,0
