timestamp,open,high,low,close,volume,RSI,MACD,MACD_signal,MACD_hist,Doji
2025-07-07 09:15:00+05:30,144660.0,144660.0,143005.0,143005.0,385,,,,,0
2025-07-07 09:30:00+05:30,143100.0,143335.0,142855.0,143000.0,428,,,,,0
2025-07-07 09:45:00+05:30,143000.0,143280.0,143000.0,143280.0,65,,,,,0
2025-07-07 10:00:00+05:30,143165.0,143280.0,142925.0,142940.0,65,,,,,0
2025-07-07 10:15:00+05:30,143070.0,143070.0,142700.0,142700.0,90,,,,,0
2025-07-07 10:30:00+05:30,142775.0,142775.0,142615.0,142775.0,78,,,,,0
2025-07-07 10:45:00+05:30,142775.0,142925.0,142700.0,142745.0,65,,,,,0
2025-07-07 11:00:00+05:30,142880.0,142880.0,142625.0,142770.0,126,,,,,0
2025-07-07 11:15:00+05:30,142795.0,142795.0,142400.0,142540.0,128,,,,,0
2025-07-07 11:30:00+05:30,142550.0,142600.0,142400.0,142590.0,52,,,,,100
2025-07-07 11:45:00+05:30,142595.0,142595.0,142425.0,142495.0,60,,,,,0
2025-07-07 12:00:00+05:30,142495.0,142600.0,142395.0,142395.0,98,,,,,0
2025-07-07 12:15:00+05:30,142500.0,142580.0,142400.0,142535.0,33,,,,,0
2025-07-07 12:30:00+05:30,142530.0,142715.0,142530.0,142580.0,49,,,,,0
2025-07-07 12:45:00+05:30,142580.0,142615.0,142300.0,142340.0,80,30.790039230974884,,,,0
2025-07-07 13:00:00+05:30,142340.0,142510.0,142200.0,142485.0,79,38.83669623071887,,,,0
2025-07-07 13:15:00+05:30,142515.0,142525.0,142395.0,142405.0,14,36.32720577468431,,,,0
2025-07-07 13:30:00+05:30,142410.0,142510.0,142400.0,142455.0,24,38.98103403581223,,,,0
2025-07-07 13:45:00+05:30,142380.0,142510.0,142350.0,142500.0,50,41.35028992153793,,,,0
2025-07-07 14:00:00+05:30,142495.0,142530.0,142405.0,142530.0,21,42.94090618577732,,,,0
2025-07-07 14:15:00+05:30,142530.0,142530.0,142425.0,142450.0,35,39.838120324010475,,,,0
2025-07-07 14:30:00+05:30,142495.0,142850.0,142360.0,142665.0,222,50.24361189404357,,,,0
2025-07-07 14:45:00+05:30,142945.0,143105.0,142735.0,142865.0,472,57.59161250265808,,,,0
2025-07-07 15:00:00+05:30,143070.0,143440.0,143070.0,143240.0,440,67.33290886915671,,,,0
2025-07-07 15:15:00+05:30,143290.0,143355.0,142705.0,143000.0,656,58.12991116816865,,,,0
2025-07-08 09:15:00+05:30,142800.0,143280.0,142210.0,142995.0,286,57.95219975999403,83.91671368345851,,,0
2025-07-08 09:30:00+05:30,142995.0,143000.0,142520.0,142640.0,143,46.97225631732596,65.97467270036577,,,0
2025-07-08 09:45:00+05:30,142760.0,142980.0,142570.0,142630.0,110,46.703821450678625,50.367949164327,,,0
2025-07-08 10:00:00+05:30,142575.0,142710.0,142500.0,142610.0,54,46.13594791471604,35.971023896330735,,,100
2025-07-08 10:15:00+05:30,142725.0,142950.0,142600.0,142850.0,43,53.45038975867434,43.426754539395915,,,0
2025-07-08 10:30:00+05:30,142780.0,142900.0,142770.0,142860.0,34,53.732314626280015,49.57096795443795,,,0
2025-07-08 10:45:00+05:30,142770.0,143035.0,142715.0,142875.0,105,54.18058784311382,55.01648025450413,,,0
2025-07-08 11:00:00+05:30,142850.0,143000.0,142780.0,143000.0,47,57.84587910924664,68.62744880578248,,,0
2025-07-08 11:15:00+05:30,142910.0,143085.0,142910.0,143075.0,16,59.917678857644724,84.49213984960807,59.70712787202339,24.785011977584674,0
2025-07-08 11:30:00+05:30,142990.0,143630.0,142990.0,143405.0,235,67.48905316579145,122.28365403096541,72.2224331038118,50.06122092715361,0
2025-07-08 11:45:00+05:30,143405.0,143575.0,143215.0,143470.0,69,68.74154100506783,155.68402948320727,88.9147523796909,66.76927710351637,0
2025-07-08 12:00:00+05:30,143470.0,143980.0,143400.0,143965.0,181,76.24649622445017,219.56541732206824,115.04488536816638,104.52053195390187,0
2025-07-08 12:15:00+05:30,143960.0,144275.0,143760.0,143950.0,378,75.653732464642,265.9161865141068,145.21914559735447,120.69704091675234,100
2025-07-08 12:30:00+05:30,143950.0,144450.0,143950.0,144300.0,204,79.63259489031363,327.12073574986425,181.59946362785644,145.52127212200782,0
2025-07-08 12:45:00+05:30,144400.0,144435.0,144110.0,144235.0,90,77.11213800288883,366.1599610969424,218.51156312167365,147.64839797526878,0
2025-07-08 13:00:00+05:30,144235.0,144295.0,144020.0,144275.0,41,77.58236707606015,395.7643688634853,253.96212427003599,141.8022445934493,0
2025-07-08 13:15:00+05:30,144250.0,144500.0,144000.0,144135.0,153,72.00630614049889,403.2804790069349,283.8257952174158,119.4546837895191,0
2025-07-08 13:30:00+05:30,144135.0,144240.0,144040.0,144200.0,39,72.9774008939302,409.75856554089114,309.0123492821109,100.74621625878024,0
2025-07-08 13:45:00+05:30,144180.0,144550.0,144150.0,144460.0,99,76.49049341756093,430.9051169217273,333.3909028100342,97.5142141116931,0
2025-07-08 14:00:00+05:30,144435.0,144550.0,144380.0,144450.0,72,76.08080948679469,441.7646074118966,355.0656437304067,86.69896368148989,100
2025-07-08 14:15:00+05:30,144360.0,144430.0,144295.0,144410.0,31,74.36505537761175,442.0475175405154,372.46201849242846,69.58549904808694,0
2025-07-08 14:30:00+05:30,144295.0,144400.0,144190.0,144385.0,87,73.25314218753637,435.23729023340275,385.0170728406233,50.22021739277943,0
2025-07-08 14:45:00+05:30,144265.0,144610.0,144260.0,144525.0,250,75.46548378641864,436.1097641069209,395.2356110938829,40.87415301303804,0
2025-07-08 15:00:00+05:30,144595.0,145555.0,144595.0,145020.0,892,81.34186018998491,471.31059390408336,410.450607655923,60.85998624816034,0
2025-07-08 15:15:00+05:30,144990.0,145055.0,144000.0,144550.0,712,65.339464035992,456.02565321631846,419.56561676800214,36.460036448316316,0
2025-07-09 09:15:00+05:30,144945.0,145700.0,144000.0,145515.0,388,75.8462455831573,515.8334557747585,438.81918456935347,77.01427120540501,0
2025-07-09 09:30:00+05:30,145510.0,146395.0,145510.0,146200.0,564,80.3903832161011,611.456851445575,473.3467179445978,138.1101335009772,0
2025-07-09 09:45:00+05:30,146200.0,146790.0,146005.0,146780.0,606,83.2618082068669,725.6751033079636,523.812395017271,201.86270829069258,0
2025-07-09 10:00:00+05:30,146795.0,146800.0,146300.0,146500.0,317,77.37167534472275,784.5563535898109,575.961186731779,208.59516685803192,0
2025-07-09 10:15:00+05:30,146495.0,146555.0,145950.0,146350.0,219,74.33773868332413,809.7817621742724,622.7253018202777,187.0564603539948,0
2025-07-09 10:30:00+05:30,146395.0,146690.0,146105.0,146470.0,603,75.17635765837346,829.8896263110801,664.1581667184381,165.73145959264195,100
2025-07-09 10:45:00+05:30,146465.0,146645.0,146300.0,146325.0,88,72.10990594487822,824.6192677139188,696.2503869175343,128.36888079638447,0
2025-07-09 11:00:00+05:30,146435.0,146500.0,146325.0,146495.0,44,73.47593679353822,824.6539523717656,721.9311000083806,102.72285236338507,100
2025-07-09 11:15:00+05:30,146330.0,146745.0,146330.0,146550.0,169,73.92097805649514,819.6708255097619,741.4790451086569,78.191780401105,0
2025-07-09 11:30:00+05:30,146560.0,149500.0,146560.0,149485.0,2573,86.72317577591312,1040.5567423499597,801.2945845569176,239.2621577930421,0
2025-07-09 11:45:00+05:30,149470.0,149495.0,148200.0,149085.0,1223,80.89476418851095,1169.8484807022323,875.0053637859805,294.8431169162518,0
2025-07-09 12:00:00+05:30,149200.0,150875.0,149000.0,150750.0,2321,85.31799292650248,1390.6343329075607,978.1311576102967,412.5031752972641,0
2025-07-09 12:15:00+05:30,150780.0,150995.0,150210.0,150545.0,1554,82.77690049132845,1531.413740385702,1088.787674165378,442.6260662203242,0
2025-07-09 12:30:00+05:30,150540.0,150750.0,150300.0,150490.0,917,82.07064604185724,1619.8715241319733,1195.004444158697,424.8670799732763,100
2025-07-09 12:45:00+05:30,150495.0,150750.0,150410.0,150500.0,768,82.10054897168553,1671.5137020057882,1290.3062957281154,381.2074062776728,100
2025-07-09 13:00:00+05:30,150540.0,150775.0,150540.0,150655.0,995,82.58536813782156,1705.2901809438772,1373.3030727712678,331.9871081726094,0
2025-07-09 13:15:00+05:30,150615.0,150700.0,150300.0,150380.0,868,78.52172484282023,1690.3824059701,1436.7189394110344,253.66346655906568,0
2025-07-09 13:30:00+05:30,150470.0,150500.0,150400.0,150490.0,348,78.96753234645614,1668.2138369055174,1483.017918909931,185.19591799558634,100
2025-07-09 13:45:00+05:30,150450.0,150480.0,150000.0,150200.0,715,74.57293389752996,1608.7004128588305,1508.154417699711,100.54599515911946,0
2025-07-09 14:00:00+05:30,150190.0,150200.0,149705.0,149925.0,559,70.56273934417915,1521.8029961514985,1510.8841333900687,10.918862761429864,0
2025-07-09 14:15:00+05:30,149925.0,150015.0,149750.0,149805.0,456,68.82352010743114,1426.8058406554337,1494.0684748431418,-67.26263418770804,0
2025-07-09 14:30:00+05:30,149835.0,149945.0,149750.0,149855.0,217,69.16455790812816,1340.1065781937796,1463.2760955132694,-123.16951731948984,100
2025-07-09 14:45:00+05:30,149855.0,150245.0,149815.0,150050.0,790,70.51901938268884,1272.463491328468,1425.1135746763093,-152.65008334784125,0
2025-07-09 15:00:00+05:30,150055.0,150680.0,149950.0,150475.0,2135,73.27440773286791,1238.8688963048626,1387.86463900202,-148.99574269715754,0
2025-07-09 15:15:00+05:30,150505.0,151900.0,150050.0,150690.0,5052,74.56929938479507,1215.581177738757,1353.4079467493675,-137.8267690106104,0
